DealerCommunityActivated	Account_Number	HDID	Date	Name	ADD1	ADD2	City	State	Zip	Country	Phone	Lead_SMS_Phone	Request_A_Consultation	Lead_SMS_Notification	ShopAtHome	Rank	Email	Lead_Email	Website	HD_Website	HD_Website2	GalleryImage	Criteria_1	Criteria_2	Criteria_3	Criteria_4	Hours	Hours_Fr	By_Appointment_Only
true	10035732|1010|01|00		11/21/2019	SINE'S FLOORING	68-23 GEORGE ST		BRIGHTON	ON	K0K 1H0	CA	(613) 475-2764		false	false	B	A	jandpsine@sympatico.ca	sinesflooring@bellnet.ca								Centurion	Please call for store hours.<br/>(613) 475-2764	Appelez pour les heures de magasin.<br/>(613) 475-2764	false
true	10035739|1000|01|00	3519925	11/21/2019	Silver State Shades And Shutters	1555 Sky Valley Dr	Apt DD104	Reno	NV	89523-9134	US	(775) 682-0121		false	false	H	A	silverstateshades@outlook.com	silverstateshades@outlook.com, silverstateshades@outlook.com									Please call for appointment.<br/>(775) 682-0121	Veuillez appeler pour une consultation.<br/>(775) 682-0121	false
true	10057867|1000|01|00	2128888	11/21/2019	Zion Window Fashions Llc	2051 E Red Hills Pkwy	Ste 8	Saint George	UT	84770-8694	US	(435) 627-1652		false	false	B	B	brian@zionwindowfashions.com	jessica@zionwindowfashions.com		www.zionwindowfashions.hdwfdealer.com	Click here to visit this dealer's website						M-F: 9:00 am - 5:30 pm, Sat: 9:00 am - 1:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H30, SAM: 09H00 - 13H00, DIM: Fermé, 	false
true	10035563|1000|01|00	2289880	11/21/2019	Devoe Color And Design Center Inc	561 Elm St		Biddeford	ME	04005-4324	US	(207) 284-6216		false	false	B	A	jkamrath@maine.rr.com	jkamrath@maine.rr.com									Please call for store hours.<br/>(207) 284-6216	Appelez pour les heures de magasin.<br/>(207) 284-6216	false
true	10032751|1000|01|00	1366406	11/21/2019	Simple Abundance Llc	21963 W 83rd St		Shawnee	KS	66227-3133	US	(785) 691-7713		false	false	B	A	cttitus@budgetblinds.com	cttitus@budgetblinds.com									Please call for store hours.<br/>(785) 691-7713	Appelez pour les heures de magasin.<br/>(785) 691-7713	false
true	10032754|1010|01|00		11/21/2019	Focus On Decorating	88 First St	Suite 4A	Orangeville	ON	L9W 3J6	CA	(519) 942-8171		false	false	S	A	keneppenberger@focusondecorating.ca	keneppenberger@focusondecorating.ca, tanyameilleur@focusondecorating.ca									Please call for store hours.<br/>(519) 942-8171	Appelez pour les heures de magasin.<br/>(519) 942-8171	false
true	10036216|1000|01|00	3542334	11/21/2019	Blackwood Blinds	843 Washington Ave		Carnegie	PA	15106-3213	US	(412) 818-3106		false	false	H	A	kent@tbgpgh.com	kent@tbgpgh.com		www.blackwoodblinds.com	www.blackwoodblinds.com						Please call for appointment.<br/>(412) 818-3106	Veuillez appeler pour une consultation.<br/>(412) 818-3106	false
true	10053914|1000|01|00	3541726	11/21/2019	Gotcha Covered North San Antonio	4282 Interstate 10 E		San Antonio	TX	78219-4016	US	(210) 854-5576		false	false	H	A	roxanecook@gotchacovered.com	roxanecook@gotchacovered.com, kristashepard@gotchacovered.com											false
true	10032528|1000|01|00	411101	11/21/2019	A Better Blind & Drapery	627 Via Presa		San Clemente	CA	92672-9445	US	(949) 498-3212		false	false	H	B	abetterblind@cox.net	abetterblind@cox.net		www.abetterblindanddrapery.com	www.abetterblindanddrapery.com						M: Closed, T-F: 9:00 am - 5:00 pm, Sat: 9:00 am - 3:00 pm, Sun: Closed, 	LUN: Fermé, MAR-VEN: 09H00 - 17H00, SAM: 09H00 - 15H00, DIM: Fermé, 	false
true	10032504|1000|01|00	3379732	11/21/2019	Elite Shutters & Blinds	11259 E Via Linda	Ste 104	Scottsdale	AZ	85259-4076	US	(480) 566-0300	(480) 203-8425	true	true	B	C	dave@eliteshuttersandblinds.com	dave@eliteshuttersandblinds.com		www.eliteshuttersandblinds.net	www.eliteshuttersandblinds.net						M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 3:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 15H00, DIM: Fermé, 	false
true	10032936|1000|01|00	3376796	11/21/2019	N P Interior Design Llc	1719 Trade Center Way		Naples	FL	34109-1886	US	(239) 596-9362		false	false	B	A	natasha@npinteriordesign.com	natasha@npinteriordesign.com		www.npinteriordesignllc.hdwfdealer.com	Click here to visit this dealer's website					Centurion	Please call for store hours.<br/>(239) 596-9362	Appelez pour les heures de magasin.<br/>(239) 596-9362	false
true	10041421|1000|01|00	253826	11/21/2019	Blinds Blinds Blinds	455 Central Park Ave	Ste 4	Scarsdale	NY	10583-1034	US	(914) 723-8300		false	false	B	B	sales@blindsblindsblinds.com	toniann.mazziotti@gmail.com		www.blindsblindsblinds.hdwfdealer.com	Click here to visit this dealer's website						M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 17H00, DIM: Fermé, 	false
true	10036053|1000|01|00	3549549	11/21/2019	Nevins Flooring	1501 Tainter St		Menomonie	WI	54751-4763	US	(715) 235-7722		false	false	B	A	info@nevinsflooring.com	info@nevinsflooring.com, marcus@nevinsflooring.com		www.nevinswindowtreatments.com	www.nevinswindowtreatments.com						M-W: 8:30 am - 5:30 pm, Th: 8:30 am - 7:00 pm, F: 8:30 am - 5:30 pm, Sat: 9:00 am - 4:00 pm, Sun: Closed, 	LUN-MER: 08H30 - 17H30, JEU: 08H30 - 19H00, VEN: 08H30 - 17H30, SAM: 09H00 - 16H00, DIM: Fermé, 	false
true	10053864|1000|01|00	241363	11/21/2019	Superior Window Fashions	6640 Inter Cal Way	Ste B	Prescott	AZ	86301-6207	US	(928) 226-6914		false	false	B	A	phillip@azsunblock.com	support@azsunblock.com, phillip@azsunblock.com, service@azsunblock.com									M-F: 9:00 am - 5:30 pm, Sat: 9:00 am - 4:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H30, SAM: 09H00 - 16H00, DIM: Fermé, 	false
true	10045151|1010|01|00		11/21/2019	Ethan Allen Home Interiors	33 Heritage Meadows Way SE		Calgary	AB	T2H 3B8	CA	(403) 258-2346		false	false	B	A	maureen.corkran@ethanallen.com	laura.kuziw@ethanallen.com, laura.kuziw@ethanallen.com, maureen.cockran@ethanallen.com, jovita.joson@ethanallen.com									M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 5:00 pm, Sun: 12:00 pm - 4:00 pm, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 17H00, DIM: 12H00 - 16H00, 	false
true	10034311|1000|01|00	1380684	11/21/2019	Shade Gallery	1046 Willow Creek Rd	Ste 115	Prescott	AZ	86301-1671	US	(928) 445-3000	(480) 208-1274	true	true	B	C	shadegallery@cableone.net	shadegallery@cableone.net, rosemary_55@live.com		www.shadegallery.us	www.shadegallery.us					Centurion	M-F: 9:00 am - 4:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 09H00 - 16H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10033191|1010|01|00		11/21/2019	Studio 49 Home & Design	5030 50 St		Camrose	AB	T4V 1R2	CA	(780) 673-9511		false	false	S	A	sandra@studio49design.com	sandra@studio49design.com									Please call for store hours.<br/>(780) 679-8789	Appelez pour les heures de magasin.<br/>(780) 679-8789	false
true	10034308|1000|01|00	3482010	11/21/2019	A Finished Window Llc	24 Dellwood Rd		Cranston	RI	02920-8002	US	(401) 374-0043		false	false	H	A	afinishedwindow2@gmail.com	joankopels@cox.net, heidi.gregory5@gmail.com		www.afinishedwindow.com	www.afinishedwindow.com					Centurion	M-F: By Appointment Only, Sat: By Appointment Only, Sun: By Appointment Only, 	LUN-VEN: Sur rendez-vous uniquement, SAM: Sur rendez-vous uniquement, DIM: Sur rendez-vous uniquement, 	false
true	10034305|1000|01|00	1442210	11/21/2019	Shades Above And Design	74991 Joni Dr	Ste 3	Palm Desert	CA	92260-2042	US	(760) 340-3333		false	false	B	B	designliving@aol.com	designliving@aol.com, workvb@aol.com		www.shadesabove.hdwfdealer.com	Click here to visit this dealer's website					Centurion	M-F: 9:00 am - 3:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 09H00 - 15H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10034306|1000|01|00	3481439	11/21/2019	House To Home Design Resource	7 London Plane Ct		Westerly	RI	02891-3200	US	(401) 569-2236		false	false	H	A	nicolei@hthwindowsandinteriors.com	nicolei@hthwindowsandinteriors.com									Please call for appointment.<br/>(401) 637-4843	Veuillez appeler pour une consultation.<br/>(401) 637-4843	false
true	10033197|1000|01|00	246102	11/21/2019	Lifestyle Interiors	1658 Boulder City Pkwy		Boulder City	NV	89005-1904	US	(702) 293-0989	702-204-0721	true	true	B	B	lifestyleinteriorsbc@gmail.com	lifestyleinteriorsbc@gmail.com		www.lifestyleinteriorsbc.com	www.lifestyleinteriorsbc.com					Centurion	M-Th: 10:00 am - 4:00 pm, F: By Appointment Only, Sat: By Appointment Only, Sun: Closed, 	LUN-JEU: 10H00 - 16H00, VEN: Sur rendez-vous uniquement, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10033198|1000|01|00	3459643	11/21/2019	Ethan Allen	5525 Abercorn St	Ste 70	Savannah	GA	31405-6934	US	(912) 629-9940		false	false	B	A	kathy.evans@ethanallen.com	mthomas@ethanalleninc.com, cheryl.campbell@ethanallen.com									Please call for store hours.<br/>(912) 629-9940	Appelez pour les heures de magasin.<br/>(912) 629-9940	false
true	10033199|1000|01|00	3423607	11/21/2019	Wow Factor Interiors Llc	136 Beachcomber St	Ste B	Daytona Beach Shores	FL	32118-5647	US	(386) 882-6373		false	false	B	A	sheilad@wowfactor-interiors.com	sheilad@wowfactor-interiors.com		www.wowfactorint.com	www.wowfactorint.com						M-F: 10:00 am - 4:00 pm, Sat: 10:00 am - 4:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 16H00, SAM: 10H00 - 16H00, DIM: Fermé, 	false
true	10033200|1000|01|00	3421732	11/21/2019	Builders Millwork & Supply Inc	1701 E Dimond Cir		Anchorage	AK	99507-3421	US	(907) 561-1355		false	false	B	A	elena.g@buildersmillworksupply.com	ben.k@buildersmillworksupply.com, kara.s@buildersmillworksupply.com		www.bmswindowcoverings.com	www.bmswindowcoverings.com					Centurion	M-F: 8:00 am - 5:00 pm, Sat: 10:00 am - 2:00 pm, Sun: Closed, 	LUN-VEN: 08H00 - 17H00, SAM: 10H00 - 14H00, DIM: Fermé, 	false
true	10036288|1000|01|00	3561828	11/21/2019	Carpet One Floor & Home Llc	1220 N Baltimore St		Kirksville	MO	63501-2541	US	(660) 665-2663		false	false	B	A	caleb@cdl1.net	tmullinix@cdl1.net									Please call for store hours.<br/>(660) 665-2663	Appelez pour les heures de magasin.<br/>(660) 665-2663	false
true	10057739|1000|01|00	519270	11/21/2019	Fabric Design Center	29 N Federal Hwy	Unit B	Hallandale Beach	FL	33009-4338	US	(954) 455-1965		true	false	B	C	lani@fabricdesigncenterflorida.com	lani@fabricdesigncenterflorida.com, rik@fabricdesigncenterflorida.com		www.fabricdesigncenterflorida.com	www.fabricdesigncenterflorida.com					Centurion	M-F: 9:30 am - 5:00 pm, Sat: 10:00 am - 2:00 pm, Sun: Closed, 	LUN-VEN: 09H30 - 17H00, SAM: 10H00 - 14H00, DIM: Fermé, 	false
true	10034919|1000|01|00	3513712	11/21/2019	Bassett Furniture	950 Old Country Rd		Garden City	NY	11530-2109	US	(516) 222-0063		false	false	B	A	jlmarcus@bassettfurniture.com	jlmarcus@bassettfurniture.com, awlear@bassettfurniture.com									Please call for store hours.<br/>(516) 222-0063	Appelez pour les heures de magasin.<br/>(516) 222-0063	false
true	10035319|1000|01|00	2795250	11/21/2019	Blind Cleaning Services	40500 Grand River Ave	Ste C	Novi	MI	48375-2875	US	(248) 282-6464		false	false	B	A	lorim@blindcleaningservices.com	lorim@blindcleaningservices.com, daven@blindcleaningservices.com, info@blindcleaningservices.com		www.blindretailers.com	www.blindretailers.com						M-F: 9:00 am - 5:00 pm, Sat: Closed, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: Fermé, DIM: Fermé, 	false
true	10057848|1000|01|00	3565455	11/21/2019	Aros Llc	20 Sunset Dr	Ste 9	Basalt	CO	81621-9387	US	(970) 737-4968		false	false	H	A	robyn@arosllc.com	andy@arossolutions.com											false
true	10035331|1000|01|00	3493864	11/21/2019	Bassett Home Furnishings	8886 Venice Blvd		Los Angeles	CA	90034-3219	US	(310) 837-7608		false	false	B	A	smibrahim@bassettfurniture.com	smibrahim@bassettfurniture.com, apalmer@bassettfurniture.com									Please call for store hours.<br/>(310) 837-7608	Appelez pour les heures de magasin.<br/>(310) 837-7608	false
true	10035332|1000|01|00	3511517	11/21/2019	Newark Window Fashions Llc	8 Main St		Millburn	NJ	07041-1382	US	(973) 817-9464		false	false	B	A	newarkwindowfashions@gmail.com	newarkwindowfashions@gmail.com									Please call for store hours.<br/>(973) 817-9464	Appelez pour les heures de magasin.<br/>(973) 817-9464	false
